library_book_id,book_id,library_id,quantity
1,1,1,4
2,1,2,2
3,1,4,2
4,2,1,3
5,2,3,2
6,3,1,3
7,3,2,2
8,3,5,2
9,4,1,4
10,4,3,2
11,4,5,3
12,5,1,3
13,5,2,2
14,5,4,1
15,6,1,2
16,6,2,2
17,7,1,2
18,7,4,1
19,8,1,3
20,8,2,2
21,8,6,2
22,9,1,2
23,9,3,2
24,9,5,1
25,10,1,2
26,10,4,2
27,11,1,3
28,11,2,3
29,12,1,4
30,12,6,4
31,13,1,3
32,13,5,2
33,14,1,3
34,14,2,2
35,14,5,2
36,15,1,2
37,15,6,1
38,16,1,3
39,16,3,3
40,17,1,2
41,17,2,2
42,18,1,4
43,18,4,5
44,19,1,3
45,19,5,2
46,20,1,2
47,20,2,1
48,20,5,1
49,21,1,3
50,22,1,3
51,22,3,3
52,23,1,4
53,23,5,4
54,24,1,3
55,24,2,2
56,25,1,2
57,25,4,2
58,26,1,3
59,26,6,3
60,27,1,2
61,27,5,1
62,28,1,3
63,28,2,4
64,29,1,3
65,29,6,2
66,30,1,2
67,30,4,2
68,31,1,3
69,31,3,3
70,32,1,2
71,32,5,1
72,33,1,4
73,33,2,4
74,34,1,3
75,34,4,2
76,35,1,2
77,35,5,2
78,36,1,3
79,36,2,2
80,36,3,2
81,37,1,3
82,37,4,3
83,38,1,2
84,38,5,1
85,39,1,4
86,39,2,4
87,40,1,3
88,40,6,2
89,41,1,2
90,41,5,2
91,42,1,4
92,42,4,3
93,43,1,3
94,43,3,3
95,44,1,2
96,44,6,1
97,45,1,4
98,45,2,2
99,45,5,2
100,46,1,3
101,46,4,2
102,47,1,2
103,47,5,2
104,48,1,4
105,48,6,3
106,49,1,3
107,49,4,3
108,50,1,2
109,50,3,1
