hold_id,user_id,library_book_id,hold_date,expiration_date,queue_position,status
1,1,42,2024-11-07 13:58:15,2024-11-14 13:58:15,5,ready
2,1,2,2024-11-09 03:38:55,2024-11-16 03:38:55,1,ready
3,33,87,2024-04-26 04:30:00,2024-05-03 04:30:00,5,active
4,28,28,2024-05-04 16:12:42,2024-05-11 16:12:42,1,active
5,36,94,2024-07-23 19:09:50,2024-07-30 19:09:50,1,ready
6,4,57,2024-08-15 10:48:12,2024-08-22 10:48:12,4,active
7,9,43,2024-07-21 14:13:35,2024-07-28 14:13:35,1,expired
8,18,47,2024-12-02 00:00:00.423196,2024-12-09 00:00:00.423196,2,active
9,26,41,2023-09-09 00:57:47,2023-09-16 00:57:47,2,expired
10,48,85,2024-09-02 10:47:46,2024-09-09 10:47:46,5,expired
11,34,38,2024-11-04 04:57:15,2024-11-11 04:57:15,4,ready
12,41,35,2024-04-30 20:23:48,2024-05-07 20:23:48,4,active
13,20,80,2024-08-08 10:43:44,2024-08-15 10:43:44,1,ready
14,14,93,2024-11-14 00:00:00.083912,2024-11-21 00:00:00.083912,2,ready
15,42,26,2024-09-30 08:54:33,2024-10-07 08:54:33,3,expired
16,32,54,2024-11-13 00:00:00.088585,2024-11-20 00:00:00.088585,3,expired
17,38,43,2024-02-24 13:18:18,2024-03-02 13:18:18,4,expired
18,42,1,2024-10-29 14:29:55,2024-11-05 14:29:55,2,active
19,46,108,2024-06-03 20:01:58,2024-06-10 20:01:58,1,active
20,24,72,2024-09-08 16:26:36,2024-09-15 16:26:36,1,ready
21,29,61,2023-12-03 23:15:21,2023-12-10 23:15:21,5,expired
22,21,34,2024-09-21 15:47:15,2024-09-28 15:47:15,5,active
23,16,90,2023-12-29 19:10:53,2024-01-05 19:10:53,1,expired
24,33,86,2024-10-11 07:40:31,2024-10-18 07:40:31,5,expired
25,5,106,2024-05-01 18:52:18,2024-05-08 18:52:18,2,ready
26,15,13,2024-09-11 19:57:57,2024-09-18 19:57:57,1,active
27,44,97,2024-05-12 12:12:46,2024-05-19 12:12:46,3,active
28,42,108,2024-10-14 03:12:40,2024-10-21 03:12:40,4,active
29,18,71,2024-12-02 00:00:00.579171,2024-12-09 00:00:00.579171,3,ready
30,17,18,2024-03-22 05:06:45,2024-03-29 05:06:45,3,ready
31,5,102,2024-08-16 13:00:37,2024-08-23 13:00:37,3,expired
32,28,95,2024-10-18 18:59:31,2024-10-25 18:59:31,2,ready
33,19,70,2024-09-20 18:07:04,2024-09-27 18:07:04,4,ready
34,27,40,2024-11-08 08:48:24,2024-11-15 08:48:24,2,expired
35,2,86,2024-11-18 00:00:00.146257,2024-11-25 00:00:00.146257,1,active
36,21,46,2024-10-22 21:48:46,2024-10-29 21:48:46,5,expired
37,24,2,2024-09-11 20:43:14,2024-09-18 20:43:14,3,expired
38,10,109,2024-10-25 01:43:44,2024-11-01 01:43:44,3,expired
39,6,44,2024-06-30 08:50:45,2024-07-07 08:50:45,1,ready
40,5,75,2024-08-08 18:56:40,2024-08-15 18:56:40,2,expired
41,21,12,2024-05-10 15:57:20,2024-05-17 15:57:20,4,active
42,37,23,2023-10-23 09:54:00,2023-10-30 09:54:00,1,ready
43,48,11,2024-09-18 20:47:09,2024-09-25 20:47:09,5,ready
44,49,100,2024-10-18 14:05:14,2024-10-25 14:05:14,4,active
45,27,19,2024-10-22 16:24:15,2024-10-29 16:24:15,4,ready
46,1,10,2024-11-10 06:32:18,2024-11-17 06:32:18,5,active
47,19,67,2024-08-02 06:56:08,2024-08-09 06:56:08,5,expired
48,15,22,2024-06-26 19:11:06,2024-07-03 19:11:06,2,ready
49,24,15,2024-07-09 10:46:40,2024-07-16 10:46:40,2,active
50,38,61,2024-03-18 02:30:00,2024-03-25 02:30:00,1,ready
51,33,48,2024-08-08 11:04:37,2024-08-15 11:04:37,2,active
52,45,109,2024-03-14 00:11:52,2024-03-21 00:11:52,3,active
53,7,27,2024-11-02 13:19:49,2024-11-09 13:19:49,2,ready
54,9,100,2024-05-25 16:35:29,2024-06-01 16:35:29,3,ready
55,37,3,2024-03-14 11:34:46,2024-03-21 11:34:46,5,expired
56,6,73,2024-05-14 12:13:57,2024-05-21 12:13:57,5,expired
57,35,67,2024-05-13 23:37:14,2024-05-20 23:37:14,1,expired
58,18,49,2024-12-02 00:00:00.425513,2024-12-09 00:00:00.425513,3,expired
59,31,18,2024-05-07 08:37:05,2024-05-14 08:37:05,4,ready
60,35,68,2023-09-12 17:28:43,2023-09-19 17:28:43,5,ready
61,25,74,2024-09-18 16:28:58,2024-09-25 16:28:58,1,ready
62,9,9,2024-07-02 21:13:37,2024-07-09 21:13:37,2,active
63,16,22,2024-09-20 13:03:46,2024-09-27 13:03:46,4,ready
64,34,96,2024-10-08 15:26:24,2024-10-15 15:26:24,4,expired
65,22,36,2023-07-25 00:34:13,2023-08-01 00:34:13,2,ready
66,32,100,2024-11-13 00:00:00.317112,2024-11-20 00:00:00.317112,3,ready
67,3,41,2024-06-29 09:07:42,2024-07-06 09:07:42,3,expired
68,1,53,2024-11-03 11:33:28,2024-11-10 11:33:28,5,ready
69,40,86,2024-07-07 22:51:09,2024-07-14 22:51:09,3,ready
70,50,25,2024-02-01 23:17:36,2024-02-08 23:17:36,1,active
71,1,10,2024-11-07 23:59:27,2024-11-14 23:59:27,2,active
72,49,85,2024-09-30 10:27:27,2024-10-07 10:27:27,5,active
73,44,5,2024-09-10 13:02:47,2024-09-17 13:02:47,1,expired
74,5,96,2024-10-07 12:36:23,2024-10-14 12:36:23,5,active
75,6,65,2024-10-08 13:24:41,2024-10-15 13:24:41,4,active
76,4,40,2024-10-29 12:02:15,2024-11-05 12:02:15,4,expired
77,44,26,2024-10-18 23:20:49,2024-10-25 23:20:49,1,active
78,24,99,2024-11-02 16:39:00,2024-11-09 16:39:00,3,active
79,19,78,2024-07-04 21:20:57,2024-07-11 21:20:57,1,active
80,14,57,2024-11-14 00:00:00.860954,2024-11-21 00:00:00.860954,1,active
81,18,94,2024-12-02 00:00:00.334238,2024-12-09 00:00:00.334238,4,ready
82,32,56,2024-11-13 00:00:00.906523,2024-11-20 00:00:00.906523,2,active
83,30,51,2023-06-20 00:42:36,2023-06-27 00:42:36,2,expired
84,15,65,2024-09-20 11:42:58,2024-09-27 11:42:58,1,ready
85,41,40,2024-05-13 03:45:08,2024-05-20 03:45:08,2,active
86,10,89,2024-06-08 03:41:46,2024-06-15 03:41:46,1,active
87,40,46,2024-07-02 04:04:11,2024-07-09 04:04:11,3,expired
88,31,101,2024-03-03 10:56:27,2024-03-10 10:56:27,1,expired
89,38,86,2024-02-25 00:35:13,2024-03-03 00:35:13,2,ready
90,18,54,2024-12-02 00:00:00.130961,2024-12-09 00:00:00.130961,5,ready
91,35,1,2023-10-19 19:14:59,2023-10-26 19:14:59,1,expired
92,10,67,2024-03-06 14:03:38,2024-03-13 14:03:38,4,ready
93,47,48,2024-11-03 03:33:44,2024-11-10 03:33:44,1,ready
94,2,74,2024-11-18 00:00:00.494494,2024-11-25 00:00:00.494494,5,active
95,47,106,2024-11-01 19:59:56,2024-11-08 19:59:56,3,ready
96,50,31,2024-01-21 15:27:52,2024-01-28 15:27:52,1,expired
